/media/ubuntu/D/GHF_pycode/Mapper_a_critic_c/0/train.py

Namespace(agent_type=0, agents=175, attend_heads=4, critic_hidden_dim=1400, critic_model_dir='critic_weights', entropy_weight=0.01, exp=1, gamma=0.99, goal_range=6, interval=100, load=False, lr=0.0003, map='60_65_hard', map_dir='map', model_dir='weights', name=None, num_updates=4, obs=30, pi_lr=0.001, pol_hidden_dim=128, q_lr=0.0001, render=False, reward_scale=20.0, seed=9527, sub_num_agent=15, tau=0.001, train=True)

Device: cuda:0

Environments loaded

Exp 1 | Agent 0 | Epi 0 | succ rate 0.27| avg reward -142.66| collision 0.90| extra 19.59| max reward -169.16| L 0.710 | eL 70.117 | aL -1.399 | cL 10000000.000
Exp 1 | Agent 0 | Epi 1 | succ rate 0.28| avg reward -195.75| collision 0.93| extra 26.01| max reward -47.06| L -87.552 | eL 412.039 | aL -129.114 | cL 10000000.000
Exp 1 | Agent 0 | Epi 2 | succ rate 0.25| avg reward -169.32| collision 0.92| extra 21.78| max reward 29.99| L -102.556 | eL 350.654 | aL -192.239 | cL 10000000.000
Exp 1 | Agent 0 | Epi 3 | succ rate 0.30| avg reward -167.63| collision 0.88| extra 21.33| max reward -355.45| L -91.551 | eL 376.992 | aL -125.259 | cL 10000000.000
Exp 1 | Agent 0 | Epi 4 | succ rate 0.29| avg reward -164.17| collision 0.92| extra 21.44| max reward -276.32| L -107.958 | eL 359.469 | aL -182.544 | cL 10000000.000
Exp 1 | Agent 0 | Epi 5 | succ rate 0.24| avg reward -171.87| collision 0.90| extra 22.12| max reward -212.57| L -45.213 | eL 236.554 | aL -55.869 | cL 10000000.000
Exp 1 | Agent 0 | Epi 6 | succ rate 0.26| avg reward -184.01| collision 0.95| extra 24.50| max reward -1.16| L -97.424 | eL 385.828 | aL -176.982 | cL 10000000.000
Exp 1 | Agent 0 | Epi 7 | succ rate 0.27| avg reward -162.56| collision 0.90| extra 21.36| max reward -384.90| L -11.935 | eL 105.204 | aL -17.466 | cL 10000000.000
Exp 1 | Agent 0 | Epi 8 | succ rate 0.27| avg reward -163.46| collision 0.92| extra 19.79| max reward -242.22| L -102.522 | eL 350.708 | aL -162.350 | cL 10000000.000
Exp 1 | Agent 0 | Epi 9 | succ rate 0.29| avg reward -182.57| collision 0.92| extra 24.34| max reward -57.33| L -85.968 | eL 368.272 | aL -114.799 | cL 10000000.000
Exp 1 | Agent 0 | Epi 10 | succ rate 0.27| avg reward -160.95| collision 0.91| extra 20.58| max reward -152.79| L -88.000 | eL 341.951 | aL -152.192 | cL 10000000.000
Exp 1 | Agent 0 | Epi 11 | succ rate 0.29| avg reward -173.66| collision 0.94| extra 23.13| max reward -193.13| L -107.273 | eL 359.260 | aL -164.539 | cL 10000000.000
Exp 1 | Agent 0 | Epi 12 | succ rate 0.35| avg reward -175.86| collision 0.88| extra 21.80| max reward -32.33| L -105.181 | eL 385.775 | aL -180.657 | cL 10000000.000
Exp 1 | Agent 0 | Epi 13 | succ rate 0.29| avg reward -176.81| collision 0.95| extra 23.33| max reward -314.31| L -97.005 | eL 377.012 | aL -146.012 | cL 10000000.000
Exp 1 | Agent 0 | Epi 14 | succ rate 0.27| avg reward -168.19| collision 0.91| extra 22.31| max reward -345.65| L -85.135 | eL 368.266 | aL -114.227 | cL 10000000.000
Exp 1 | Agent 0 | Epi 15 | succ rate 0.32| avg reward -192.12| collision 0.92| extra 23.44| max reward -223.82| L -79.824 | eL 403.243 | aL -107.847 | cL 10000000.000
