/media/ubuntu/D/GHF_pycode/Mapper_a_critic_c/0/train.py

Namespace(agent_type=0, agents=175, attend_heads=4, critic_hidden_dim=320, critic_model_dir='critic_weights', entropy_weight=0.01, exp=2, gamma=0.99, goal_range=6, interval=100, load=False, lr=0.0003, map='60_65_hard', map_dir='map', model_dir='weights', name=None, num_updates=4, obs=30, pi_lr=0.001, pol_hidden_dim=128, q_lr=0.0001, render=False, reward_scale=20.0, seed=123, sub_num_agent=15, tau=0.001, train=True)

Device: cuda:0

Environments loaded

Exp 2 | Agent 0 | Epi 0 | succ rate 0.32| avg reward -173.64| collision 0.94| extra 22.13| max reward -264.81| L -44.419 | eL 245.798 | aL -63.028 | cL 10000000.000
Exp 2 | Agent 0 | Epi 1 | succ rate 0.27| avg reward -184.24| collision 0.91| extra 21.85| max reward -182.80| L 28.372 | eL 41.706 | aL 25.499 | cL 10000000.000
Exp 2 | Agent 0 | Epi 2 | succ rate 0.31| avg reward -174.29| collision 0.93| extra 24.06| max reward -223.42| L -92.670 | eL 368.748 | aL -135.261 | cL 10000000.000
Exp 2 | Agent 0 | Epi 3 | succ rate 0.27| avg reward -183.52| collision 0.94| extra 23.44| max reward -177.87| L -107.036 | eL 377.509 | aL -175.242 | cL 10000000.000
Exp 2 | Agent 0 | Epi 4 | succ rate 0.26| avg reward -146.92| collision 0.91| extra 21.18| max reward -263.54| L 63.145 | eL 21.948 | aL 56.725 | cL 10000000.000
Exp 2 | Agent 0 | Epi 5 | succ rate 0.23| avg reward -168.93| collision 0.94| extra 23.05| max reward -115.65| L -86.370 | eL 324.823 | aL -112.360 | cL 10000000.000
Exp 2 | Agent 0 | Epi 6 | succ rate 0.23| avg reward -174.55| collision 0.95| extra 24.46| max reward -299.05| L -73.920 | eL 351.090 | aL -93.793 | cL 10000000.000
Exp 2 | Agent 0 | Epi 7 | succ rate 0.25| avg reward -181.75| collision 0.93| extra 25.88| max reward -216.06| L -82.805 | eL 368.690 | aL -106.658 | cL 10000000.000
Exp 2 | Agent 0 | Epi 8 | succ rate 0.27| avg reward -117.09| collision 0.91| extra 16.43| max reward -117.31| L -81.019 | eL 245.810 | aL -108.077 | cL 10000000.000
Exp 2 | Agent 0 | Epi 9 | succ rate 0.23| avg reward -183.46| collision 0.95| extra 23.39| max reward -262.27| L -74.458 | eL 368.741 | aL -91.910 | cL 10000000.000
Exp 2 | Agent 0 | Epi 10 | succ rate 0.37| avg reward -170.08| collision 0.88| extra 25.37| max reward -278.68| L 73.711 | eL 6.585 | aL 65.257 | cL 10000000.000
Exp 2 | Agent 0 | Epi 11 | succ rate 0.28| avg reward -162.53| collision 0.89| extra 20.31| max reward -297.90| L -26.448 | eL 171.197 | aL -33.194 | cL 10000000.000
Exp 2 | Agent 0 | Epi 12 | succ rate 0.27| avg reward -183.50| collision 0.95| extra 24.25| max reward -311.89| L -91.468 | eL 368.740 | aL -133.541 | cL 10000000.000
Exp 2 | Agent 0 | Epi 13 | succ rate 0.31| avg reward -170.31| collision 0.87| extra 21.44| max reward -222.33| L -61.820 | eL 331.432 | aL -81.428 | cL 10000000.000
Exp 2 | Agent 0 | Epi 14 | succ rate 0.29| avg reward -160.14| collision 0.94| extra 21.35| max reward -275.26| L -48.244 | eL 215.107 | aL -77.375 | cL 10000000.000
Exp 2 | Agent 0 | Epi 15 | succ rate 0.27| avg reward -132.93| collision 0.89| extra 17.72| max reward -233.97| L -13.968 | eL 138.290 | aL -17.237 | cL 10000000.000
